State,Population Estimate (as of July 1 2020)
Alaska,734002
Alabama,4908621
Arkansas,3038999
Arizona,7378494
California,39937489
Colorado,5845526
Connecticut,3563077
District of Columbia,720687
Delaware,982895
Florida,21992985
Georgia,10736059
Hawaii,1412687
Iowa,3179849
Idaho,1826156
Illinois,12659682
Indiana,6745354
Kansas,2910357
Kentucky,4499692
Louisiana,4645184
Massachusetts,6976597
Maryland,6083116
Maine,1345790
Michigan,10045029
Minnesota,5700671
Missouri,6169270
Mississippi,2989260
Montana,1086759
North Carolina,10611862
North Dakota,761723
Nebraska,1952570
New Hampshire,1371246
New Jersey,8936574
New Mexico,2096640
Nevada,3139658
New York,19440469
Ohio,11747694
Oklahoma,3954821
Oregon,4301089
Pennsylvania,12820878
Rhode Island,1056161
South Carolina,5210095
South Dakota,903027
Tennessee,6897576
Texas,29472295
Utah,3282115
Virginia,8626207
Vermont,628061
Washington,7797095
Wisconsin,5851754
West Virginia,1778070
Wyoming,567025
