State,population_estimate,state_abbreviation
Alaska,734002,AK
Alabama,4908621,AL
Arkansas,3038999,AR
Arizona,7378494,AZ
California,39937489,CA
Colorado,5845526,CO
Connecticut,3563077,CT
District of Columbia,720687,DC
Delaware,982895,DE
Florida,21992985,FL
Georgia,10736059,GA
Hawaii,1412687,HI
Iowa,3179849,IA
Idaho,1826156,ID
Illinois,12659682,IL
Indiana,6745354,IN
Kansas,2910357,KS
Kentucky,4499692,KY
Louisiana,4645184,LA
Massachusetts,6976597,MA
Maryland,6083116,MD
Maine,1345790,ME
Michigan,10045029,MI
Minnesota,5700671,MN
Missouri,6169270,MO
Mississippi,2989260,MS
Montana,1086759,MT
North Carolina,10611862,NC
North Dakota,761723,ND
Nebraska,1952570,NE
New Hampshire,1371246,NH
New Jersey,8936574,NJ
New Mexico,2096640,NM
Nevada,3139658,NV
New York,19440469,NY
Ohio,11747694,OH
Oklahoma,3954821,OK
Oregon,4301089,OR
Pennsylvania,12820878,PA
Rhode Island,1056161,RI
South Carolina,5210095,SC
South Dakota,903027,SD
Tennessee,6897576,TN
Texas,29472295,TX
Utah,3282115,UT
Virginia,8626207,VA
Vermont,628061,VT
Washington,7797095,WA
Wisconsin,5851754,WI
West Virginia,1778070,WV
Wyoming,567025,WY
