6268805,Utah,"State Orders Restaurants, Bars to Suspend Dine-in Services
",17/03/2020,19/03/2020,02/04/2020,Restriction and Regulation of Businesses
1966160,Utah,"State of Utah Restricts Non-urgent Surgeries on March 24 2020.
",24/03/2020,25/03/2020,25/04/2020,Restriction and Regulation of Government Services
8986806,Utah,"Gov. Gary R. Herbert of Utah, USA, has issued an Executive Order instituting a moratorium on residential evictions fort a small number of individuals who are unable to pay rent due to direct and identifiable impacts of COVID-19 on April 1 2020.",01/04/2020,01/04/2020,15/05/2020,Social Distancing
6604464,Utah,"Steward Health Care offers COVID-19 drive-through testing at three hospital locations in Utah, USA from April 6 2020",06/04/2020,06/04/2020,NA,Health Testing
9130617,Utah,"Utah, USA will, for the first time, deploy a targeted wireless emergency alert (WEA) on certain highways that cross state borders into Utah. The alert will direct motorists to fill out a brief declaration, or survey, that is available at entry.utah.gov.
",09/04/2020,09/04/2020,13/04/2020,Internal Border Restrictions
4758774,Utah,"Gov. Herbert of Utah, USA, on April 9 2020, has issued an Executive Order establishing a requirement for individuals entering Utah to complete a travel declaration form.",09/04/2020,10/04/2020,01/05/2020,Internal Border Restrictions
9130617,Utah,"Utah, USA will use electronic message boards instead of text alerts to alert motorists of health declaration order from April 13 2020. Arriving airline passengers will continue receiving postcards directing them to entry.utah.gov.",09/04/2020,13/04/2020,13/04/2020,Internal Border Restrictions
2376179,Utah,"Gov. Gary Herbert, of Utah, USA, along with state superintendent Syd Dickson announced that public schools will extend their “soft closure” until the end of the school year.",14/04/2020,14/04/2020,22/05/2020,Closure and Regulation of Schools
2376179,Utah,"Gov. Gary Herbert, of Utah, USA, along with state superintendent Syd Dickson announced that public schools will extend their “soft closure” until the end of the school year.",14/04/2020,14/04/2020,22/05/2020,Closure and Regulation of Schools
